stock,buy_date,sell_date,buy_price,buying_day_near_desc_sentiment,sell_price,selling_day_near_desc_sentiment,hold_days,profit_loss_pct
SHRIRAMFIN,2018-07-04,2018-08-13,1145.0,negative,1340.0,positive,28,17.03056768558952
TITAN,2019-07-09,2019-08-21,1099.0,negative,1065.3,neutral,29,-3.0664240218380385
INDUSTOWER,2019-04-25,2019-06-12,272.5,negative,274.15,neutral,31,0.605504587155955
CANFINHOME,2021-07-13,2021-08-20,551.9,negative,503.55,positive,26,-8.760645044392094
CUMMINSIND,2021-10-01,2021-12-20,915.0,negative,892.45,positive,53,-2.464480874316935
BALKRISIND,2022-11-15,2022-12-23,1963.95,negative,2074.15,neutral,28,5.61114081315716
NMDC,2020-08-28,2020-09-04,107.3,negative,93.95,neutral,5,-12.441752096924507
TORNTPHARM,2022-05-26,2022-05-30,1459.88,negative,1444.5,neutral,2,-1.0535112474998019
LICHSGFIN,2022-11-02,2022-11-17,364.55,negative,375.75,neutral,10,3.0722808942531854
INDIGO,2019-10-25,2019-11-11,1469.5,negative,1480.0,positive,11,0.7145287512759442
